##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR14995085_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	25124752
11107	9	0.029798105087529336
11107	10-11	0.05150930216739624
11107	12-13	0.02402222967472767
11107	14-15	0.012747152336153533
11107	16-17	0.030694614235507345
11107	18-19	-0.006022489154922539
11107	20-21	0.0704545035186257
11107	22-23	0.045069435483995335
11107	24-25	0.010478457538184216
11107	26-27	0.045837586878462844
11107	28-29	0.057575248387870204
11107	30-31	0.04450951375575585
11107	32-33	0.05315712394057215
11107	34-35	0.032529455581496336
11107	36-37	0.047491934304645156
11107	38-39	0.05126251493468459
11107	40-41	0.004760484379310981
11107	42-43	0.018895748963345227
11107	44-45	0.03586394975812368
11107	46-47	0.02886683652893396
11107	48-49	0.06105186631635462
11107	50-51	0.057609977143755486
11107	52-53	0.07822564340756344
11107	54-55	0.02962209772083213
11107	56-57	0.03543183734250732
11107	58-59	0.01927957158771676
11107	60-61	0.11942066899450765
11107	62-63	0.14794374045409597
11107	64-65	0.016884207336879342
11107	66-67	0.007989539279577684
11107	68-69	0.023719879919134712
11107	70-71	0.10181012905773201
11107	72-73	0.10154323266712595
11107	74-75	0.0780475950584858
11107	76	0.09482331224698726
11108	1	-0.02086496140801941
11108	2	0.025832897462240823
11108	3	0.01830281599347572
11108	4	0.05708949068114322
11108	5	0.017854527360483985
11108	6	0.053120421191799494
11108	7	0.029765762025576237
11108	8	0.06104294882950967
11108	9	0.024699027705850085
11108	10-11	0.004100999270271188
11108	12-13	0.029781024844105275
11108	14-15	0.04919245435323205
11108	16-17	0.05991894485413951
11108	18-19	0.03538883232065615
11108	20-21	0.04059385542073102
11108	22-23	0.0025948815624943222
11108	24-25	0.007372255096093738
11108	26-27	0.013827307691876456
11108	28-29	0.030634715247920496
11108	30-31	0.015574383959545912
11108	32-33	0.05759247253451605
11108	34-35	0.057438152574782464
11108	36-37	0.026404888155227013
11108	38-39	0.03696786846632705
11108	40-41	0.018544971510046082
11108	42-43	0.0636661974613304
11108	44-45	0.04472078572301541
11108	46-47	0.04217337396491416
11108	48-49	0.07965247264202446
11108	50-51	0.09740063294739798
11108	52-53	0.03996850202543101
11108	54-55	0.06897219829436096
11108	56-57	0.1307760706841563
11108	58-59	0.08986420121451033
11108	60-61	0.12370794198713497
11108	62-63	0.0805897049539297
11108	64-65	0.04970999986952762
11108	66-67	0.03901520761775146
11108	68-69	0.07134977823449162
11108	70-71	0.0962372137589611
11108	72-73	0.13677092645689015
11108	74-75	0.039102495047707464
11108	76	0.030886211993049528
11109	1	0.019452360809509628
11109	2	0.04900283585334009
11109	3	0.016659523834331225
11109	4	0.03505537854604768
11109	5	-0.002773094480492233
11109	6	2.962837968496501E-4
11109	7	0.02802713284621916
11109	8	0.030253955679363287
11109	9	0.030808503857137737
11109	10-11	0.05885773216535739
11109	12-13	0.03071633761386039
11109	14-15	0.04388407183615328
11109	16-17	0.013053513738363165
11109	18-19	0.006909377568248942
11109	20-21	0.039873523419252876
11109	22-23	0.054137002772961296
11109	24-25	0.03258078904131878
11109	26-27	0.062220741510358835
11109	28-29	0.048741916827985676
11109	30-31	0.05856697200323424
11109	32-33	0.04405009154268669
11109	34-35	0.07696293653049935
11109	36-37	0.07758875898636575
11109	38-39	0.07058473043378655
11109	40-41	-0.020311076504476944
11109	42-43	0.05141925110768142
11109	44-45	0.030153536959574012
11109	46-47	0.04557777855598033
11109	48-49	0.04165661359026274
11109	50-51	0.04664085717458022
11109	52-53	0.07846636349611202
11109	54-55	0.08695275187508855
11109	56-57	0.040273748988091995
11109	58-59	0.05915751897160959
11109	60-61	0.08782507703031683
11109	62-63	0.06238273188814247
11109	64-65	0.02877774592212745
11109	66-67	-0.008291862136829309
11109	68-69	0.1102230166160183
11109	70-71	0.10161754677397283
11109	72-73	0.05302532383633718
11109	74-75	0.056002020584344336
11109	76	0.05560755317424082
11110	1	-0.012462264570377357
11110	2	0.023474836713269553
11110	3	0.019322987232246902
11110	4	-0.020608990044305386
11110	5	-0.03563641725928335
11110	6	-0.02620498756159151
11110	7	0.015859501452546
11110	8	-0.006073878771168495
11110	9	0.04791913129160008
11110	10-11	-0.003772239614356465
11110	12-13	-0.0050249702420117615
11110	14-15	-0.021798508476379652
11110	16-17	-0.016209601523307526
11110	18-19	0.006267560884232637
11110	20-21	0.01822601116113276
11110	22-23	-0.009651385400275103
11110	24-25	0.023337306009402425
11110	26-27	-0.003109069337952519
11110	28-29	0.02365147596868411
11110	30-31	0.023811702068485374
11110	32-33	0.03269422895306917
11110	34-35	0.04299115577701684
11110	36-37	0.047475770214617796
11110	38-39	0.028576007076722476
11110	40-41	0.026458150274471848
11110	42-43	0.03576311360889406
11110	44-45	0.013698075897181639
11110	46-47	0.030663786190551434
11110	48-49	0.01233760699616937
11110	50-51	-0.031282568123700116
11110	52-53	0.04976480701889585
11110	54-55	0.03132280874277882
11110	56-57	0.038858963872307584
11110	58-59	0.01794300663318893
11110	60-61	0.059592358121349776
11110	62-63	0.10336840308357154
11110	64-65	0.04295624147921728
11110	66-67	9.232332880060312E-4
11110	68-69	0.015411885715671758
11110	70-71	0.014621478553578982
11110	72-73	0.03704377558001681
11110	74-75	0.008395868017288421
11110	76	0.005566137913994851
11111	1	0.005541658433365626
11111	2	-0.018391867580607624
11111	3	0.014754126316496752
11111	4	0.03716356425827527
11111	5	-0.013275715632349971
11111	6	0.009264848820620841
11111	7	0.04514878503815112
11111	8	-0.01719644857661251
11111	9	0.027734541598519513
11111	10-11	0.0173582666736678
11111	12-13	0.06244508176376229
11111	14-15	0.03644893870240651
11111	16-17	-0.0026221418220089276
11111	18-19	0.03758988136173258
11111	20-21	0.01170196956430658
11111	22-23	0.017298438679333117
11111	24-25	-0.04744705051287923
11111	26-27	0.027169519745150694
11111	28-29	0.014720783823840122
11111	30-31	0.00927913721524476
11111	32-33	0.01239110469159499
11111	34-35	0.012448333677923529
11111	36-37	0.011974256715141962
11111	38-39	0.02683079750303108
11111	40-41	0.009814563386186137
11111	42-43	0.05134209089658981
11111	44-45	0.029669043215122315
11111	46-47	0.0011702956648775853
11111	48-49	0.019101576581093127
11111	50-51	0.008243873389901069
11111	52-53	0.06343217122164191
11111	54-55	0.05687356975804647
11111	56-57	0.054210459150262125
11111	58-59	-0.02834098689636022
11111	60-61	0.00379640414086424
11111	62-63	0.03980520606115334
11111	64-65	0.13610649905824346
11111	66-67	0.03627645156186077
11111	68-69	0.06145802218194518
11111	70-71	0.0785233349962482
11111	72-73	0.06315938634445928
11111	74-75	0.015152685853685455
11111	76	0.0024335484288897646
11112	1	0.009935195142976028
11112	2	0.017395509180389013
11112	3	0.0020172718797901723
11112	4	0.006536235160979231
11112	5	0.006018123138314735
11112	6	0.0033656992388770846
11112	7	0.03224825149386845
11112	8	0.017864329365878007
11112	9	0.045861197841844614
11112	10-11	0.007850515073918984
11112	12-13	0.021326903874019365
11112	14-15	-0.017379045311656682
11112	16-17	0.0412501670766261
11112	18-19	-0.018553411463720693
11112	20-21	-0.008836095492760876
11112	22-23	0.021337312417273324
11112	24-25	0.01299976735913333
11112	26-27	0.0012312844956383628
11112	28-29	0.056870293378032954
11112	30-31	0.03117478269706453
11112	32-33	0.05429164828985478
11112	34-35	0.015461945114495279
11112	36-37	0.059108073696414465
11112	38-39	0.018844916520677657
11112	40-41	0.006280334222516615
11112	42-43	0.007458025824675474
11112	44-45	0.02934137704214379
11112	46-47	0.04980752632086194
11112	48-49	0.019315940460487013
11112	50-51	0.06073721779902996
11112	52-53	-0.04783251858832216
11112	54-55	0.0021321694555211934
11112	56-57	0.054454547974224
11112	58-59	0.07814676283494748
11112	60-61	0.05289907286788775
11112	62-63	0.07662761187430789
11112	64-65	0.06547211522337193
11112	66-67	0.005757308064715971
11112	68-69	0.028287729860238642
11112	70-71	0.04220019667727826
11112	72-73	0.014694307813087448
11112	74-75	0.08077077600953686
11112	76	-0.005278997344312586
11201	1	-0.08066629249552548
11201	2	-0.10228643772679646
11201	3	-0.07698763047484647
11201	4	-0.09578791775881257
11201	5	-0.09713618027401338
11201	6	-0.1450357849671775
11201	7	-0.10573166626362251
11201	8	-0.13816180672994705
11201	9	-0.0935990153378583
11201	10-11	-0.15387088641119817
11201	12-13	-0.11022345235709707
11201	14-15	-0.12463081081513394
11201	16-17	-0.12030736489919747
11201	18-19	-0.18977640130793816
11201	20-21	-0.07847711997809625
11201	22-23	-0.1791336830520578
11201	24-25	-0.12426271061809047
11201	26-27	-0.1563620282171101
11201	28-29	-0.10405239578968661
11201	30-31	-0.11260484167907947
11201	32-33	-0.1574131206759617
11201	34-35	-0.11069934933694014
11201	36-37	-0.13216946286068776
11201	38-39	-0.12670154522503907
11201	40-41	-0.09165581351651753
11201	42-43	-0.1380311054302581
11201	44-45	-0.19556588181390566
11201	46-47	-0.18626232757829797
11201	48-49	-0.16825348329831513
11201	50-51	-0.15863552624198007
11201	52-53	-0.16381631219370263
11201	54-55	-0.2545244806975475
11201	56-57	-0.22484397911007648
11201	58-59	-0.1908254870675421
11201	60-61	-0.23108352268479848
11201	62-63	-0.14856397912189578
11201	64-65	-0.16166348171163492
11201	66-67	-0.18895223598953237
11201	68-69	-0.14401963819960173
11201	70-71	-0.1435290409005603
11201	72-73	-0.11338544088996372
11201	74-75	-0.08568772917521983
11201	76	0.0728906438371908
11202	1	-0.09618952155954119
11202	2	-0.10769013938232064
11202	3	-0.10320564517830277
11202	4	-0.11745688181043334
11202	5	-0.08787277800860593
11202	6	-0.1143008127927132
11202	7	-0.1504108309771297
11202	8	-0.1573861184067198
11202	9	-0.14085709572681537
11202	10-11	-0.2029893979971078
11202	12-13	-0.15710431901327837
11202	14-15	-0.15540794397437452
11202	16-17	-0.14929523841224324
11202	18-19	-0.13201446931082472
11202	20-21	-0.15673675050031477
11202	22-23	-0.1595959898468564
11202	24-25	-0.15463775575299366
11202	26-27	-0.10691521916237434
11202	28-29	-0.14403461460957345
11202	30-31	-0.15251628229073333
11202	32-33	-0.13621394258372987
11202	34-35	-0.12844728862873467
11202	36-37	-0.1339070169689478
11202	38-39	-0.1465855597087753
11202	40-41	-0.1439477187117575
11202	42-43	-0.15762685917786712
11202	44-45	-0.14494368156555026
11202	46-47	-0.113159210739596
11202	48-49	-0.1046576857025272
11202	50-51	-0.17139695300241442
11202	52-53	-0.22394957505050428
11202	54-55	-0.2721888182199379
11202	56-57	-0.2113216415889454
11202	58-59	-0.25792533971426934
11202	60-61	-0.24402228008671045
11202	62-63	-0.25899374000113795
11202	64-65	-0.11681442614553106
11202	66-67	-0.18149497044993979
11202	68-69	-0.20208747902808
11202	70-71	-0.18335803266760564
11202	72-73	-0.17110857048299977
11202	74-75	-0.10540259529327045
11202	76	-0.09524383547585558
11203	1	-0.11446204491526402
11203	2	-0.09841183224059691
11203	3	-0.10148462478284159
11203	4	-0.1353206469466528
11203	5	-0.14968166511338765
11203	6	-0.12557237748987404
11203	7	-0.127780700413183
11203	8	-0.13798504242448217
11203	9	-0.15795688314666023
11203	10-11	-0.1533813128951138
11203	12-13	-0.13565667631537082
11203	14-15	-0.14010318548383083
11203	16-17	-0.16059192754682527
11203	18-19	-0.18792174603309064
11203	20-21	-0.19531275762152944
11203	22-23	-0.13537671931388218
11203	24-25	-0.17610746061820493
11203	26-27	-0.15550949024343907
11203	28-29	-0.17374789153925718
11203	30-31	-0.15716728340483144
11203	32-33	-0.14637144179651074
11203	34-35	-0.13052000880110626
11203	36-37	-0.1551595554962688
11203	38-39	-0.18172656406192544
11203	40-41	-0.12271025407820702
11203	42-43	-0.16664947840521904
11203	44-45	-0.14329656194426832
11203	46-47	-0.11230593721566606
11203	48-49	-0.16531580917526867
11203	50-51	-0.18097565123571968
11203	52-53	-0.2041924539165052
11203	54-55	-0.17867506245107023
11203	56-57	-0.2180456720889481
11203	58-59	-0.1729334929183679
11203	60-61	-0.15888109388035332
11203	62-63	-0.17371312112174309
11203	64-65	-0.1855689062399506
11203	66-67	-0.20397667279746656
11203	68-69	-0.24174391152952523
11203	70-71	-0.14526071564514353
11203	72-73	-0.14448782232042134
11203	74-75	-0.07470771572283041
11203	76	0.037199961832946826
11204	1	-0.03926176121181868
11204	2	-0.09195689983710764
11204	3	-0.06774446572083548
11204	4	-0.06862858041404607
11204	5	-0.08065496456507759
11204	6	-0.085254273834515
11204	7	-0.10555771012104032
11204	8	-0.14856057373898324
11204	9	-0.13150981576328036
11204	10-11	-0.10463345987320594
11204	12-13	-0.08437435174715091
11204	14-15	-0.11894229782820531
11204	16-17	-0.0884147163846194
11204	18-19	-0.06901778013381232
11204	20-21	-0.10393566675519139
11204	22-23	-0.07093900950042098
11204	24-25	-0.0992813426298298
11204	26-27	-0.1394733842607181
11204	28-29	-0.07844903404298975
11204	30-31	-0.10325746758302046
11204	32-33	-0.11702318528448785
11204	34-35	-0.1130415045341806
11204	36-37	-0.0786359513878665
11204	38-39	-0.12640781939551005
11204	40-41	-0.07197165143606554
11204	42-43	-0.14239277579410725
11204	44-45	-0.14513354979886373
11204	46-47	-0.15022079667737387
11204	48-49	-0.16315647679098788
11204	50-51	-0.08862754296625042
11204	52-53	-0.11116419146972589
11204	54-55	-0.09384109040858135
11204	56-57	-0.13552860616491813
11204	58-59	-0.05991444051339556
11204	60-61	-0.06976440183569821
11204	62-63	-0.13294853164618559
11204	64-65	-0.10231435889848939
11204	66-67	-0.15760491341906402
11204	68-69	-0.12244600865298594
11204	70-71	-0.05969292678432936
11204	72-73	-0.06499549752760458
11204	74-75	-0.05005914227945141
11204	76	0.028618283467189087
11205	1	-0.07269888312200123
11205	2	-0.14835735057944177
11205	3	-0.11988639108376731
11205	4	-0.07733628004468684
11205	5	-0.11003973590667826
11205	6	-0.21840819671475487
11205	7	-0.17396633884766288
11205	8	-0.13241667375564958
11205	9	-0.16413666431703433
11205	10-11	-0.07692101371439009
11205	12-13	-0.14044393721701454
11205	14-15	-0.14629131985459054
11205	16-17	-0.14554213203364696
11205	18-19	-0.12907127078138103
11205	20-21	-0.15897818558128307
11205	22-23	-0.11387480779390557
11205	24-25	-0.19168981064833446
11205	26-27	-0.1293566107192703
11205	28-29	-0.14749697812430895
11205	30-31	-0.14929718854593688
11205	32-33	-0.12894489818308585
11205	34-35	-0.14657172883632086
11205	36-37	-0.18015772929878437
11205	38-39	-0.11330898987093718
11205	40-41	-0.13922197448868445
11205	42-43	-0.1421466081793028
11205	44-45	-0.14588417403534493
11205	46-47	-0.16286945141334286
11205	48-49	-0.1066571463327719
11205	50-51	-0.16099464922891116
11205	52-53	-0.19209494183257902
11205	54-55	-0.1598413006828423
11205	56-57	-0.18376936622140505
11205	58-59	-0.19749954779057077
11205	60-61	-0.28257799242118153
11205	62-63	-0.1591978595632142
11205	64-65	-0.22083272870913362
11205	66-67	-0.17123838594106644
11205	68-69	-0.19253988520678433
11205	70-71	-0.12446592515374988
11205	72-73	-0.07255469252646662
11205	74-75	-0.06589985628565387
11205	76	-0.007855264557072417
11206	1	-0.060849845332590746
11206	2	9.333483858036118E-4
11206	3	-0.002351988141285233
11206	4	-0.03223493390853349
11206	5	-0.05078030437423209
11206	6	-0.06082751979261758
11206	7	0.001461433373556531
11206	8	-0.07349246580903213
11206	9	-0.05304502107739495
11206	10-11	-0.033753269816990894
11206	12-13	-0.03898860640435231
11206	14-15	-0.07545358585533535
11206	16-17	-0.06189652246359856
11206	18-19	-0.06793857595662445
11206	20-21	-0.07368475049562306
11206	22-23	-0.040853067568058066
11206	24-25	-0.05100417845256544
11206	26-27	-0.07316241786579525
11206	28-29	-0.03238423552566161
11206	30-31	-0.05527583049286022
11206	32-33	-0.071890200497009
11206	34-35	-0.06079432973653098
11206	36-37	-0.08485831476860994
11206	38-39	-0.06198253573613499
11206	40-41	-0.06069311774607655
11206	42-43	-0.07272320299015433
11206	44-45	-0.025470946743844536
11206	46-47	-0.04145266848966145
11206	48-49	-0.039801374527620226
11206	50-51	-0.12804722943295133
11206	52-53	-0.10773737966621866
11206	54-55	-0.13352823535601743
11206	56-57	-0.11244780681132482
11206	58-59	-0.053969246081607025
11206	60-61	-0.1192115821331754
11206	62-63	-0.0950645427525032
11206	64-65	-0.07819172061165602
