##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR14995084_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24865591
11107	1	0.023629008432671128
11107	2	0.020620651154214187
11107	3	0.02818870623093872
11107	4	0.04801577824577663
11107	5	0.018179444587790528
11107	6	0.013585691084408325
11107	7	0.04390840124446527
11107	8	0.015606221252177477
11107	9	0.040527376381604086
11107	10-11	0.011599112193557914
11107	12-13	0.02832383470128974
11107	14-15	0.011618050601327923
11107	16-17	0.05399553520174294
11107	18-19	0.046623584028118614
11107	20-21	0.02305977061568143
11107	22-23	0.05022606932178064
11107	24-25	0.03221016512978281
11107	26-27	0.030410179313328456
11107	28-29	0.06755388124667405
11107	30-31	0.05427387373120496
11107	32-33	0.03937089451512321
11107	34-35	0.0056343041283568596
11107	36-37	0.019113350679909047
11107	38-39	0.04338892546113016
11107	40-41	0.032166134304304705
11107	42-43	0.039924153607046264
11107	44-45	0.04953781556102399
11107	46-47	0.0532129444031213
11107	48-49	0.06900679997711734
11107	50-51	0.015777065714964067
11107	52-53	0.03250459854704957
11107	54-55	0.0794481388010837
11107	56-57	0.05595184994677993
11107	58-59	0.09287993106705272
11107	60-61	0.0763980711758947
11107	62-63	0.03240569180332642
11107	64-65	0.10609116813343888
11107	66-67	0.09442453744117074
11107	68-69	0.08952023448754431
11107	70-71	0.037776356689960267
11107	72-73	0.08430632513025671
11107	74-75	0.061672160135636034
11107	76	0.1353713650785977
11108	1	0.028112400041049312
11108	2	0.042750940018041916
11108	3	0.010647913371858664
11108	4	0.02361189929822416
11108	5	0.028926556005384185
11108	6	0.02331692019593845
11108	7	0.0400087364956363
11108	8	0.051145511839223445
11108	9	-0.002858316215743173
11108	10-11	0.05184658271496545
11108	12-13	0.027945142271050827
11108	14-15	0.04025066430990876
11108	16-17	0.014585573619633863
11108	18-19	0.04532862622038181
11108	20-21	0.05348587606918187
11108	22-23	0.0392626360157351
11108	24-25	-0.007090116165066718
11108	26-27	0.04548012106687338
11108	28-29	0.02790430959957746
11108	30-31	0.03641675841318204
11108	32-33	0.06154784853492146
11108	34-35	-0.010451634438261692
11108	36-37	0.07538897147431811
11108	38-39	0.027439381512039063
11108	40-41	0.03729747750978163
11108	42-43	0.03103841281987485
11108	44-45	0.043668160444319426
11108	46-47	0.05604730823429804
11108	48-49	-0.02318914214027501
11108	50-51	0.046645351572657034
11108	52-53	0.012458864814256287
11108	54-55	0.04482003045768579
11108	56-57	0.04426094923705648
11108	58-59	0.04574310075086885
11108	60-61	0.08978097863958823
11108	62-63	0.0300557355943738
11108	64-65	0.003898093189825147
11108	66-67	0.07192971668732895
11108	68-69	0.10785996354737648
11108	70-71	0.12379645653701488
11108	72-73	0.03737959071437302
11108	74-75	0.0674984678516779
11108	76	0.20404983555573608
11109	1	-0.0040031008925076605
11109	2	-0.011594153719659772
11109	3	0.010103432940965718
11109	4	-5.476652002620597E-4
11109	5	0.02859183648636332
11109	6	-0.0029368147692281354
11109	7	0.04000022771430878
11109	8	-0.0019180973093995135
11109	9	0.01533655806237988
11109	10-11	-0.0023050178214774064
11109	12-13	0.01563307374285472
11109	14-15	0.010087213350253421
11109	16-17	0.012660935600898426
11109	18-19	0.002087099846022511
11109	20-21	-0.012670138958299049
11109	22-23	0.02197798403146578
11109	24-25	0.018561796327311697
11109	26-27	0.021874770606387983
11109	28-29	0.004987355001361493
11109	30-31	0.006908812790541674
11109	32-33	0.03234627227742948
11109	34-35	0.015203057260130493
11109	36-37	0.00967662015548143
11109	38-39	-0.004165307602718826
11109	40-41	0.023988471661354538
11109	42-43	0.007109752748334586
11109	44-45	0.019930994160326065
11109	46-47	0.03725994165134239
11109	48-49	0.024141345899991506
11109	50-51	-0.0012829920457448907
11109	52-53	0.03162233390558811
11109	54-55	-0.02682972669363437
11109	56-57	0.0055311319668831516
11109	58-59	-0.023756471592676576
11109	60-61	-0.030290763650768326
11109	62-63	0.00821374771739869
11109	64-65	-0.03308413245433428
11109	66-67	-0.07435792791672924
11109	68-69	-0.04479407159232096
11109	70-71	-0.049695195273123716
11109	72-73	0.027056734217460132
11109	74-75	0.07209527988510445
11109	76	0.13487108966258177
11110	1	0.011970391778376666
11110	2	0.03885596941839964
11110	3	0.007206466315491156
11110	4	0.019608672194959098
11110	5	0.03404425764137642
11110	6	0.0459198627073647
11110	7	-0.008564056257291952
11110	8	-0.011647677290952174
11110	9	0.0077883423058793255
11110	10-11	0.040388079010988065
11110	12-13	0.016129283644268355
11110	14-15	0.03754024338356743
11110	16-17	0.01344784287997669
11110	18-19	0.0036423920398362952
11110	20-21	0.0033864542696093736
11110	22-23	0.01739152380032749
11110	24-25	-0.011309703251122016
11110	26-27	0.017444130558708082
11110	28-29	0.02492885149297308
11110	30-31	0.027557251355972312
11110	32-33	-0.004717758708657982
11110	34-35	0.04812277233691731
11110	36-37	0.03195154515977805
11110	38-39	0.011248888486008468
11110	40-41	0.028916298820412578
11110	42-43	0.023799592850252793
11110	44-45	0.023913582511596587
11110	46-47	0.028213810650960625
11110	48-49	0.0050263026611219175
11110	50-51	0.025541355665374965
11110	52-53	0.0542140687105217
11110	54-55	0.034305214204295
11110	56-57	0.07903265938639947
11110	58-59	0.02570601948843887
11110	60-61	0.07066322444000406
11110	62-63	0.12046593695787067
11110	64-65	0.11398995271188994
11110	66-67	0.002861269616587947
11110	68-69	0.023509770624279724
11110	70-71	0.09646487788162261
11110	72-73	0.08099462451999528
11110	74-75	0.07893287493205037
11110	76	0.12471519606154402
11111	1	-0.02878547569963885
11111	2	-0.008759235049151215
11111	3	0.037319976300576485
11111	4	0.018875382170278954
11111	5	0.02924306752951722
11111	6	0.014499739327767713
11111	7	-0.02816888354524849
11111	8	-0.029750423322610686
11111	9	0.01368434019802578
11111	10-11	0.006802712142231826
11111	12-13	0.017932222374412277
11111	14-15	0.015641115001564287
11111	16-17	0.0201208931924981
11111	18-19	0.007318836949920637
11111	20-21	0.03257472050268717
11111	22-23	8.092054985269215E-4
11111	24-25	0.030264746342730575
11111	26-27	0.020081376017714092
11111	28-29	0.03109674603017254
11111	30-31	0.01430677939774938
11111	32-33	0.04188327653609747
11111	34-35	0.015017601231619437
11111	36-37	0.04249997563587726
11111	38-39	-0.03465546417096732
11111	40-41	0.004060582429261217
11111	42-43	0.007415516577495396
11111	44-45	0.023955659211409852
11111	46-47	0.008721566790093505
11111	48-49	0.0012084058474073345
11111	50-51	0.030593429564412133
11111	52-53	0.012527549077567812
11111	54-55	-0.018088314715171805
11111	56-57	0.058874414041973466
11111	58-59	0.04455471942119971
11111	60-61	0.00729832716989165
11111	62-63	0.05280792879884899
11111	64-65	0.037681937294593126
